"Account","Flag","Check Number","Date","Payee","Category","Master Category","Sub Category","Memo","Outflow","Inflow","Cleared","Running Balance"
"Checking Account",,,06/25/2012,"SOU MTA VENDING","Transport: Train","Transport","Train","POS DEB 0923 06/25/12 00130119",$20.00,$0.00,R,$7238.80
"Checking Account",,,06/27/2012,"23ANDME INC","Generosity: Christmas Gifts","Generosity","Christmas Gifts","DBT CRD 0357 06/27/12 00020786",$5.00,$0.00,R,$7233.80
"Checking Account",,,06/27/2012,"CR *CONSUMERREPORTS.OR","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1911 06/26/12 00013900",$6.95,$0.00,R,$7226.85
"Checking Account",,,06/28/2012,"CREDIT Expenses","Stuff: Books","Stuff","Books","SEFAIRA INC       120628  PPD",$0.00,$59.47,R,$7286.32
"Checking Account",,,06/29/2012,"BOB & BETTY'S","Food: Groceries","Food","Groceries","POS DEB 1415 06/28/12 00894887",$53.89,$0.00,R,$7232.43
"Checking Account",,0629120036,06/29/2012,"Transfer : Shared Account",,,,,$1500.00,$0.00,R,$5732.43
"Checking Account",,1218520111,07/03/2012,"Bill paid-CABLEVISION","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$5.98,$0.00,R,$5726.45
"Checking Account",,,07/03/2012,"NEW YORK TIMES DIGITAL","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 0403 07/03/12 00029752",$15.00,$0.00,R,$5711.45
"Checking Account",,1218520112,07/03/2012,"Bill paid-CONEDISON","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$115.62,$0.00,R,$5595.83
"Checking Account",,,07/05/2012,"CREDIT PAY","Income: Available this month","Income","Available this month","Payroll           Jul 05  PPD",$0.00,$3100.87,R,$8696.70
"Checking Account",,,07/05/2012,"AMAZON WEB SERVICES","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 0352 07/05/12 00029517",$1.58,$0.00,R,$8695.12
"Checking Account",,0000600005,07/05/2012,"e-Pay Check  600005","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","Payee: LANDLORD - 846 PROSPECT",$3500.00,$0.00,R,$5195.12
"Checking Account",,,07/06/2012,"VESTA   T MOBILE","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","POS DEB 1002 07/06/12 00024717",$32.66,$0.00,R,$5162.46
"Checking Account",,,07/10/2012,"GRISTMAG","Generosity: Charity","Generosity","Charity","DBT CRD 2238 07/09/12 00027243",$5.00,$0.00,R,$5157.46
"Checking Account",,,07/12/2012,"wedding theme wordpress","Communication: Software","Communication","Software",,$16.00,$0.00,R,$5141.46
"Checking Account",,,07/12/2012,"wedding joomla template","Communication: Software","Communication","Software",,$70.00,$0.00,R,$5071.46
"Checking Account",,,07/18/2012,"Interest Deposit","Income: Available next month","Income","Available next month",,$0.00,$6.67,R,$5078.13
"Checking Account",,,07/19/2012,"CREDIT PAY","Income: Available next month","Income","Available next month","Payroll           Jul 19  PPD",$0.00,$2741.81,R,$7819.94
"Checking Account",,,07/20/2012,"ATM FEE 0642 07/20/12 00004997","The Man: Fees","The Man","Fees","5 PENN PLAZA",$1.00,$0.00,R,$7818.94
"Checking Account",,,07/20/2012,"NFSN INC","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 1908 07/19/12 00019781",$15.00,$0.00,R,$7803.94
"Checking Account",,,07/20/2012,"VESTA   T MOBILE","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","POS DEB 0755 07/20/12 00052055",$54.44,$0.00,R,$7749.50
"Checking Account",,,07/20/2012,"Transfer : Guillaume's Wallet",,,,"5 PENN PLAZA",$303.00,$0.00,R,$7446.50
"Checking Account",,,07/23/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 0018 07/23/12 00432006",$20.00,$0.00,R,$7426.50
"Checking Account",,,07/24/2012,"STATION CENTRALE DIVIS","Transport: Intercity Buses","Transport","Intercity Buses","DBT CRD 0400 07/24/12 00030243",$82.51,$0.00,R,$7343.99
"Checking Account",,,07/25/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1057 07/25/12 00161009",$29.00,$0.00,R,$7314.99
"Checking Account",,,07/25/2012,"DDA B/P 1021 07/25/12 00956661","Transport: Bicycle","Transport","Bicycle","PAYPAL *VINTAGE",$89.23,$0.00,R,$7225.76
"Checking Account",,,07/27/2012,"CR *CONSUMERREPORTS.OR","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1909 07/26/12 00021039",$6.95,$0.00,R,$7218.81
"Checking Account",,,07/27/2012,"DDA B/P 1153 07/27/12 00807642","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","PAYPAL *BTGUARD",$6.95,$0.00,R,$7211.86
"Checking Account",,,07/27/2012,"WILD GINGER VEGETARIAN","Food: Fancy Restaurant","Food","Fancy Restaurant","DBT CRD 1909 07/26/12 00021038",$39.75,$0.00,R,$7172.11
"Checking Account",,,07/30/2012,"EATA PITA","Food: Lazy Restaurants","Food","Lazy Restaurants","DBT CRD 2244 07/29/12 00027711",$23.10,$0.00,R,$7149.01
"Checking Account",,,07/30/2012,"SQ *ROSEBUD VINTAGE","Joy: Hers","Joy","Hers","DBT CRD 1934 07/29/12 00016713",$70.76,$0.00,R,$7078.25
"Checking Account",,,07/31/2012,"NEW YORK TIMES DIGITAL","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 0355 07/31/12 00029770",$15.00,$0.00,R,$7063.25
"Checking Account",,,08/01/2012,"ATM FEE 1024 08/01/12 00022521","The Man: Fees","The Man","Fees","*ASTOR PLACE",$1.00,$0.00,R,$7062.25
"Checking Account",,,08/01/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 0942 08/01/12 00660107",$29.00,$0.00,R,$7033.25
"Checking Account",,,08/01/2012,"Transfer : Guillaume's Wallet",,,,"*ASTOR PLACE",$302.00,$0.00,R,$6731.25
"Checking Account",,,08/02/2012,"CREDIT PAY","Income: Available this month","Income","Available this month","Payroll           Aug 02  PPD",$0.00,$2741.81,R,$9473.06
"Checking Account",,1221500158,08/02/2012,"Transfer : Chase Credit Card",,,,,$175.30,$0.00,R,$9297.76
"Checking Account",,,08/03/2012,"CREDIT ACH Pmt","Income: Available this month","Income","Available this month","HILLARY CPA GROU  Aug 03  PPD",$0.00,$2741.81,R,$12039.57
"Checking Account",,,08/06/2012,"AMAZON WEB SERVICES","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 1950 08/05/12 00026413",$2.53,$0.00,R,$12037.04
"Checking Account",,,08/06/2012,"SHELL Service S","Transport: Gasoline","Transport","Gasoline","POS DEB 1752 08/05/12 00854568",$5.18,$0.00,R,$12031.86
"Checking Account",,,08/06/2012,"DDA B/P 0714 08/05/12 00178402","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","VESTA   T MOBILE",$32.66,$0.00,R,$11999.20
"Checking Account",,,08/06/2012,"NST METRO-NORTH","Transport: Train","Transport","Train","POS DEB 0545 08/06/12 00008489",$44.00,$0.00,R,$11955.20
"Checking Account",,,08/06/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries","POS DEB 1742 08/04/12 00702003",$74.28,$0.00,R,$11880.92
"Checking Account",,,08/08/2012,"MCMASTER-CARR","Stuff: Furniture & Equip","Stuff","Furniture & Equip","DBT CRD 2238 08/07/12 00016204",$12.51,$0.00,R,$11868.41
"Checking Account",,,08/08/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 0829 08/08/12 00432473",$20.00,$0.00,R,$11848.41
"Checking Account",,0000600006,08/09/2012,"e-Pay Check  600006","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","Payee: LANDLORD - 846 PROSPECT",$3500.00,$0.00,R,$8348.41
"Checking Account",,,08/10/2012,"GRISTMAG","Generosity: Charity","Generosity","Charity","DBT CRD 0839 08/10/12 00012398",$5.00,$0.00,R,$8343.41
"Checking Account",,,08/10/2012,"DEBIT  REVERSAL","Income: Available this month","Income","Available this month","Guillaume Marcea  Aug 03  PPD",$2741.81,$0.00,R,$5601.60
"Checking Account",,,08/13/2012,"DDA B/P 0847 08/13/12 00611130","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","PAYPAL *NFSN IN",$15.00,$0.00,R,$5586.60
"Checking Account",,,08/13/2012,"FEDEX 898786883438","Joy: Wedding","Joy","Wedding","DBT CRD 1909 08/10/12 00012851",$70.02,$0.00,R,$5516.58
"Checking Account",,,08/14/2012,"PAYPAL *GREENEHILLF","Generosity: Charity","Generosity","Charity","DBT CRD 0835 08/14/12 00011044",$175.00,$0.00,R,$5341.58
"Checking Account",,,08/15/2012,"Interest Deposit","Income: Available next month","Income","Available next month",,$0.00,$9.13,R,$5350.71
"Checking Account",,,08/15/2012,"ATM Fee Refund","The Man: Fees","The Man","Fees",,$0.00,$7.00,R,$5357.71
"Checking Account",,,08/15/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1745 08/14/12 00532706",$20.00,$0.00,R,$5337.71
"Checking Account",,,08/16/2012,"CREDIT PAY","Income: Available next month","Income","Available next month","Payroll           Aug 16  PPD",$0.00,$2741.81,R,$8079.52
"Checking Account",,,08/20/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1547 08/19/12 00732839",$29.00,$0.00,R,$8050.52
"Checking Account",,,08/20/2012,"DDA B/P 1251 08/20/12 00972990","Communication: Software","Communication","Software","PAYPAL *CHARLES",$50.00,$0.00,R,$8000.52
"Checking Account",,,08/27/2012,"DDA Deposit","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$0.00,$1300.00,R,$9300.52
"Checking Account",,,08/27/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 2008 08/26/12 00831200",$20.00,$0.00,R,$9280.52
"Checking Account",,0827120254,08/27/2012,"Transfer : Shared Account",,,,,$1000.00,$0.00,R,$8280.52
"Checking Account",,0828120113,08/28/2012,"Transfer : Shared Account",,,,,$1000.00,$0.00,R,$7280.52
"Checking Account",,,08/29/2012,"NEW YORK TIMES DIGITAL","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1906 08/28/12 00015463",$15.00,$0.00,R,$7265.52
"Checking Account",,,08/30/2012,"CREDIT PAY","Income: Available next month","Income","Available next month","Payroll           Aug 30  PPD",$0.00,$2741.81,R,$10007.33
"Checking Account",,,09/04/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1653 08/31/12 00561756",$3.00,$0.00,R,$10004.33
"Checking Account",,,09/04/2012,"NST METRO-NORTH","Transport: Train","Transport","Train","POS DEB 1809 08/31/12 00008225",$22.00,$0.00,R,$9982.33
"Checking Account",,,09/04/2012,"DDA B/P 0710 09/04/12 00446680","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","VESTA   T MOBILE",$32.66,$0.00,R,$9949.67
"Checking Account",,,09/04/2012,"Transfer : Guillaume's Wallet",,,,"29 LOW ROAD",$200.00,$0.00,R,$9749.67
"Checking Account",,,09/04/2012,"Transfer : Guillaume's Wallet",,,,"29 LOW ROAD",$500.00,$0.00,R,$9249.67
"Checking Account",,,09/06/2012,"CREDIT Expenses","Communication: Software","Communication","Software","SEFAIRA INC       120906  PPD",$0.00,$50.00,R,$9299.67
"Checking Account",,,09/06/2012,"AMAZON WEB SERVICES","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 1905 09/05/12 00018041",$3.95,$0.00,R,$9295.72
"Checking Account",,,09/06/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 0814 09/06/12 00832599",$29.00,$0.00,R,$9266.72
"Checking Account",,,09/06/2012,"SHELL Service S","Transport: Gasoline","Transport","Gasoline","POS DEB 1501 09/05/12 00083237",$58.16,$0.00,R,$9208.56
"Checking Account",,0000600007,09/06/2012,"e-Pay Check  600007","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","Payee: LANDLORD - 846 PROSPECT",$3500.00,$0.00,R,$5708.56
"Checking Account",,1225100206,09/07/2012,"Bill paid-CONEDISON","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$415.47,$0.00,R,$5293.09
"Checking Account",,,09/10/2012,"GRISTMAG","Generosity: Charity","Generosity","Charity","DBT CRD 2240 09/09/12 00018521",$5.00,$0.00,R,$5288.09
"Checking Account",,1225400409,09/10/2012,"Bill paid-NATIONAL GRID","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$33.98,$0.00,R,$5254.11
"Checking Account",,1225400410,09/10/2012,"Bill paid-CABLEVISION","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$44.90,$0.00,R,$5209.21
"Checking Account",,,09/10/2012,"SFI*PHOTOSBYSHUTTERFLY","Generosity: Spontanous Gifts","Generosity","Spontanous Gifts","DBT CRD 1944 09/09/12 00008246",$54.00,$0.00,R,$5155.21
"Checking Account",,1225400411,09/10/2012,"Transfer : Chase Credit Card",,,,,$140.62,$0.00,R,$5014.59
"Checking Account",,0000001006,09/11/2012,"Check  1006","Joy: Wedding","Joy","Wedding","Wedding photography",$400.00,$0.00,R,$4614.59
"Checking Account",,,09/13/2012,"CREDIT PAY","Income: Available next month","Income","Available next month","Payroll           Sep 13  PPD",$0.00,$2741.81,R,$7356.40
"Checking Account",,,09/13/2012,"DDA Deposit","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$0.00,$1483.61,R,$8840.01
"Checking Account",,,09/13/2012,"SFI*PHOTOSBYSHUTTERFLY","Generosity: Spontanous Gifts","Generosity","Spontanous Gifts","DBT CRD 0358 09/13/12 00012654",$12.49,$0.00,R,$8827.52
"Checking Account",,,09/13/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 1016 09/13/12 00931576",$29.00,$0.00,R,$8798.52
"Checking Account",,1225820126,09/14/2012,"Bill paid-CABLEVISION","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$44.90,$0.00,R,$8753.62
"Checking Account",,,09/19/2012,"Interest Deposit","Income: Available next month","Income","Available next month",,$0.00,$11.22,R,$8764.84
"Checking Account",,,09/20/2012,"CR *CONSUMERREPORTS.OR","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1907 09/19/12 00027762",$6.95,$0.00,R,$8757.89
"Checking Account",,1226500206,09/21/2012,"Transfer : Chase Credit Card",,,,,$66.03,$0.00,R,$8691.86
"Checking Account",,,09/24/2012,"MOTHER JONES MAGAZINE","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1936 09/23/12 00016509",$37.00,$0.00,R,$8654.86
"Checking Account",,,09/25/2012,"NEW YORK TIMES DIGITAL","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 0356 09/25/12 00029765",$15.00,$0.00,R,$8639.86
"Checking Account",,,09/27/2012,"TH BICYCLES INC","Transport: Bicycle","Transport","Bicycle","Gator tires",$164.04,$0.00,R,$8475.82
"Checking Account",,,09/28/2012,"CREDIT PAY","Income: Available next month","Income","Available next month","Payroll           Sep 28  PPD",$0.00,$4052.11,R,$12527.93
"Checking Account",,,10/01/2012,"PAYPAL *REDDIT GOLD","Generosity: Charity","Generosity","Charity","DBT CRD 0831 09/29/12 00025893",$29.99,$0.00,R,$12497.94
"Checking Account",,0000600008,10/01/2012,"e-Pay Check  600008","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","Payee: LANDLORD - 846 PROSPECT",$3500.00,$0.00,R,$8997.94
"Checking Account",,,10/04/2012,"DDA B/P 0639 10/04/12 00472713","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","VESTA   T MOBILE",$32.66,$0.00,R,$8965.28
"Checking Account",,,10/09/2012,"AMAZON WEB SERVICES","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 0351 10/06/12 00021544",$3.95,$0.00,R,$8961.33
"Checking Account",,,10/09/2012,"SKYPE COMMUNICATIO","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","DBT CRD 1937 10/07/12 00018279",$14.30,$0.00,R,$8947.03
"Checking Account",,,10/09/2012,"TH BICYCLES INC","Transport: Bicycle","Transport","Bicycle","DBT CRD 0351 10/06/12 00021542",$15.12,$0.00,R,$8931.91
"Checking Account",,,10/09/2012,"TH BICYCLES INC","Transport: Bicycle","Transport","Bicycle","DBT CRD 0351 10/06/12 00021543",$21.76,$0.00,R,$8910.15
"Checking Account",,,10/09/2012,"BOB & BETTY'S","Food: Groceries","Food","Groceries","POS DEB 1735 10/06/12 00709411",$52.22,$0.00,R,$8857.93
"Checking Account",,,10/10/2012,"GRISTMAG","Generosity: Charity","Generosity","Charity","DBT CRD 0830 10/10/12 00013095",$5.00,$0.00,R,$8852.93
"Checking Account",,1228600242,10/12/2012,"Bill paid-CABLEVISION","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$44.90,$0.00,R,$8808.03
"Checking Account",,,10/12/2012,"Sigma Xi","Generosity: Charity","Generosity","Charity",,$90.00,$0.00,R,$8718.03
"Checking Account",,1228900405,10/12/2012,"Transfer : Chase Credit Card",,,,,$649.97,$0.00,C,$8068.06
"Checking Account",,,10/14/2012,"CREDIT DIRECT DEP","Income: Available next month","Income","Available next month","Payroll",$0.00,$3037.51,R,$11105.57
"Checking Account",,,10/15/2012,"DEBIT  INTELL CK","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","CON ED OF NY      121011  PPD",$517.76,$0.00,C,$10587.81
"Checking Account",,,10/17/2012,"Interest Deposit","Income: Available next month","Income","Available next month",,$0.00,$10.73,C,$10598.54
"Checking Account",,,10/18/2012,"SIGMA XI THE SCIENTIFI","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 2032 10/17/12 00031522",$20.00,$0.00,C,$10578.54
"Checking Account",,,10/19/2012,"BEDFORD CHEESE SHOP","Joy: Treats","Joy","Treats",,$18.00,$0.00,C,$10560.54
"Checking Account",,,10/22/2012,"CR *CONSUMERREPORTS.OR","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1912 10/19/12 00015207",$6.95,$0.00,C,$10553.59
"Checking Account",,,10/22/2012,"SQ *CLEMENTINE BAKERY","Food: Fancy Restaurant","Food","Fancy Restaurant","DBT CRD 1933 10/21/12 00021284",$18.75,$0.00,C,$10534.84
"Checking Account",,,10/22/2012,"SOU MTA VENDING","Transport: Subway","Transport","Subway","POS DEB 2146 10/21/12 00332067",$20.00,$0.00,C,$10514.84
"Checking Account",,,10/22/2012,"ICELANDA","Joy: Vacation","Joy","Vacation","DBT CRD 0352 10/22/12 00010107",$637.28,$0.00,C,$9877.56
"Checking Account",,,10/23/2012,"CREDIT GM Exps","Stuff: Books","Stuff","Books","SEFAIRA INC       121023  PPD",$0.00,$43.54,C,$9921.10
"Checking Account",,,10/23/2012,"SPRING STREET NATURAL","Food: Fancy Restaurant","Food","Fancy Restaurant","DBT CRD 1907 10/22/12 00009071",$80.00,$0.00,C,$9841.10
"Checking Account",,,10/23/2012,"ICELANDA","Joy: Vacation","Joy","Vacation","DBT CRD 0352 10/23/12 00016254",$446.24,$0.00,C,$9394.86
"Checking Account",,,10/24/2012,"NEW YORK TIMES DIGITAL","Joy: Magazines & Newspapers","Joy","Magazines & Newspapers","DBT CRD 1907 10/23/12 00027426",$15.00,$0.00,C,$9379.86
"Checking Account",,,10/25/2012,"PICCOLO CAFE","Food: Fancy Restaurant","Food","Fancy Restaurant","DBT CRD 0352 10/25/12 00024382",$13.00,$0.00,C,$9366.86
"Checking Account",,,10/26/2012,"ATM FEE 1528 10/25/12 00126883","The Man: Fees","The Man","Fees","31 EAST 17TH STREET",$1.00,$0.00,C,$9365.86
"Checking Account",,,10/26/2012,"Transfer : Guillaume's Wallet",,,,"31 EAST 17TH STREET",$303.00,$0.00,C,$9062.86
"Checking Account",,,10/29/2012,"NST METRO-NORTH","Transport: Train","Transport","Train","POS DEB 1614 10/27/12 00006449",$43.00,$0.00,C,$9019.86
"Checking Account",,1230300360,10/29/2012,"Bill paid-NATIONAL GRID","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$74.18,$0.00,C,$8945.68
"Checking Account",,1230300359,10/29/2012,"Bill paid-CONEDISON","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$89.62,$0.00,C,$8856.06
"Checking Account",,,10/30/2012,"DDA B/P 1321 10/30/12 00276145","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","VESTA   T MOBILE",$54.44,$0.00,C,$8801.62
"Checking Account",,,10/31/2012,"CREDIT DIRECT DEP","Income: Available next month","Income","Available next month","SEFAIRA INC       121031  PPD",$0.00,$3037.50,C,$11839.12
"Checking Account",,,10/31/2012,,"House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$0.00,$1261.44,U,$13100.56
"Shared Account",,,06/08/2012,"Transfer : Checking Account",,,,,$0.00,$2000.00,C,$2000.00
"Shared Account",,,06/08/2012,"Starting Balance","Income: Available this month","Income","Available this month",,$0.00,$393.30,R,$2393.30
"Shared Account",,,06/09/2012,,"Joy: Wedding","Joy","Wedding","Deposit on the rental house",$750.00,$0.00,R,$1643.30
"Shared Account",,,06/11/2012,"KEY FOODS #1370","Food: Groceries","Food","Groceries","POS DEB 0904 06/09/12 00701854",$53.23,$0.00,R,$1590.07
"Shared Account",,,06/11/2012,"SHELL OIL 57544333404","Transport: Gasoline","Transport","Gasoline","DBT CRD 1936 06/10/12 00016162",$61.02,$0.00,R,$1529.05
"Shared Account",,,06/13/2012,"NST METRO-NORTH","Transport: Train","Transport","Train","POS DEB 1645 06/12/12 00009363",$16.25,$0.00,R,$1512.80
"Shared Account",,,06/14/2012,"CANCER CARE THRIFT STO","Stuff: Clothing","Stuff","Clothing","DBT CRD 0357 06/14/12 00013359",$50.50,$0.00,R,$1462.30
"Shared Account",,,06/17/2012,,"Food: Groceries","Food","Groceries",,$25.97,$0.00,R,$1436.33
"Shared Account",,,06/26/2012,"MTA MVM FRANKLIN AVQPS","Transport: Subway","Transport","Subway","DBT CRD 1911 06/25/12 00021875",$10.00,$0.00,R,$1426.33
"Shared Account",,,06/26/2012,"SHARON FARM MAR","Food: Groceries","Food","Groceries","POS DEB 1611 06/25/12 00206370",$89.22,$0.00,R,$1337.11
"Shared Account",,,06/27/2012,"METRO-NORTH TVM    QPS","Transport: Train","Transport","Train","DBT CRD 1911 06/26/12 00013903",$138.25,$0.00,R,$1198.86
"Shared Account",,,06/28/2012,"AVI HUNTER COLLEGE","Joy: Education","Joy","Education","DBT CRD 0837 06/28/12 00017729",$6.96,$0.00,R,$1191.90
"Shared Account",,0629120036,06/29/2012,"Transfer : Checking Account",,,,,$0.00,$1500.00,R,$2691.90
"Shared Account",,,07/02/2012,"CUMBERLAND FARM","Transport: Gasoline","Transport","Gasoline","POS DEB 1226 06/30/12 00366094",$63.97,$0.00,R,$2627.93
"Shared Account",,,07/03/2012,"PINE TREE","Food: Groceries","Food","Groceries","DBT CRD 1912 07/02/12 00021578",$39.59,$0.00,R,$2588.34
"Shared Account",,,07/03/2012,"DEBIT  INTELL CK","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","CON ED OF NY      120702  PPD",$74.56,$0.00,R,$2513.78
"Shared Account",,,07/05/2012,"STARBUCKS NJ-T10961506","Joy: Treats","Joy","Treats","DBT CRD 1907 07/04/12 00022071",$11.40,$0.00,R,$2502.38
"Shared Account",,,07/05/2012,"LAZ PARKING 660113","Transport: Tolls & Parking","Transport","Tolls & Parking","DBT CRD 0353 07/04/12 00026238",$22.00,$0.00,R,$2480.38
"Shared Account",,,07/05/2012,"NAMS GREEN FRUIT & VEG","Food: Groceries","Food","Groceries","DBT CRD 1912 07/03/12 00017772",$65.83,$0.00,R,$2414.55
"Shared Account",,,07/06/2012,"NATIONAL CONSTITUTNQ96","Transport: Tolls & Parking","Transport","Tolls & Parking","DBT CRD 1912 07/05/12 00012881",$18.00,$0.00,R,$2396.55
"Shared Account",,,07/06/2012,"EXXONMOBIL    47643614","Transport: Gasoline","Transport","Gasoline","DBT CRD 0837 07/06/12 00026935",$53.30,$0.00,R,$2343.25
"Shared Account",,,07/09/2012,"DDA Deposit","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses",,$0.00,$2480.00,R,$4823.25
"Shared Account",,,07/09/2012,"DDA Deposit","House & Upkeep: Rent & Shared House Expenses","House & Upkeep","Rent & Shared House Expenses","(Split 1/2) ",$0.00,$992.32,R,$6637.96
"Shared Account",,,07/09/2012,"DDA Deposit / Transfer : Guillaume's Wallet",,,,"(Split 2/2) ",$0.00,$822.39,R,$6637.96
"Shared Account",,,07/10/2012,"SHELL OIL 116962203QPS","Transport: Gasoline","Transport","Gasoline","DBT CRD 1914 07/09/12 00022328",$21.29,$0.00,R,$6616.67
